Generation,Fitness,Variance
1,52.809730,21.590824
2,55.432973,20.708210
3,57.937297,18.775528
4,60.340000,18.027643
5,62.724324,18.172652
6,65.089730,17.555192
7,67.411892,16.882237
8,69.744324,16.036792
9,72.053514,14.470109
10,74.147568,13.680386
11,76.250811,13.525202
12,78.338919,12.830539
13,80.363784,12.190364
14,82.366486,11.011634
15,84.279459,10.163524
16,86.047568,9.628008
17,87.782703,7.910620
18,89.357838,7.444925
19,90.888649,6.209222
20,92.277838,5.430914
21,93.576216,4.981488
22,94.836216,3.932634
23,95.929189,3.070121
24,96.909189,2.383105
25,97.769730,1.726435
26,98.502703,1.201344
27,99.105405,0.768890
28,99.574054,0.402354
29,99.868649,0.120585
30,99.981622,0.018041
31,99.999459,0.000540
32,100.000000,0.000000
1,52.594595,21.709160
2,55.218919,18.975318
3,57.646486,18.762596
4,60.090270,18.558878
5,62.517297,19.229160
6,65.064865,16.669306
7,67.315676,17.390079
8,69.660000,16.587643
9,71.942162,15.364763
10,74.177838,14.660806
11,76.300541,13.712919
12,78.420541,12.968011
13,80.456757,12.064346
14,82.422703,10.833214
15,84.262162,9.756676
16,86.039459,8.955740
17,87.714054,8.606343
18,89.367568,7.654083
19,90.922703,7.014025
20,92.391892,5.815610
21,93.759459,4.770789
22,94.992432,3.688591
23,96.058378,3.315511
24,97.083243,2.536854
25,97.984865,1.670041
26,98.672432,1.042970
27,99.223243,0.638271
28,99.623784,0.330894
29,99.895135,0.100355
30,99.989730,0.010165
31,99.999459,0.000540
32,100.000000,0.000000
1,52.923784,20.182840
2,55.482162,19.841033
3,58.054595,20.047290
4,60.562162,19.613703
5,62.998378,17.440538
6,65.367568,17.389218
7,67.777838,16.597671
8,70.057838,16.268547
9,72.258378,15.611078
10,74.514595,14.375192
11,76.635676,13.351592
12,78.707027,12.909843
13,80.772432,11.897943
14,82.750811,10.420607
15,84.551351,9.385741
16,86.312973,8.692859
17,87.957297,7.944663
18,89.534595,7.056371
19,91.025405,6.459355
20,92.457838,5.510925
21,93.760541,4.625362
22,94.971351,3.793233
23,96.043243,2.971103
24,96.976216,2.449164
25,97.857838,1.751141
26,98.574595,1.248760
27,99.171892,0.747750
28,99.627568,0.347240
29,99.889730,0.107840
30,99.989730,0.010165
31,100.000000,0.000000
1,52.857838,20.756547
2,55.464865,18.732009
3,57.928649,19.235990
4,60.374054,18.830894
5,62.785946,18.950938
6,65.245405,18.168965
7,67.656757,16.844887
8,70.005946,16.608073
9,72.312973,15.318805
10,74.548108,14.319037
11,76.685405,14.157246
12,78.835135,13.887955
13,80.985946,12.223586
14,82.990811,10.982078
15,84.869730,9.473300
16,86.620000,8.863708
17,88.291351,7.409709
18,89.806486,6.612282
19,91.244324,6.426792
