Generation,Fitness,Variance
1,52.857838,18.567357
2,55.284324,15.908349
3,57.550811,15.180391
4,59.777297,14.039052
5,61.921622,13.500343
6,64.023784,13.070786
7,66.113514,11.890898
8,68.010811,10.970694
9,69.882162,10.180709
10,71.668108,9.693091
11,73.430811,9.216024
12,75.142703,9.093149
13,76.843243,8.483535
14,78.471351,7.931341
15,80.048108,7.847956
16,81.589189,7.342586
17,83.085405,7.397030
18,84.604865,6.133057
19,85.983243,6.005665
20,87.323243,5.685784
21,88.676757,5.154973
22,89.931892,4.746713
23,91.158378,4.383024
24,92.331892,3.805523
25,93.421622,3.114127
26,94.408649,2.718412
27,95.308108,2.346150
28,96.147027,1.920005
29,96.908649,1.667871
30,97.617838,1.291249
31,98.224324,0.988057
32,98.757297,0.709204
33,99.216216,0.470007
34,99.575135,0.305976
35,99.837297,0.142717
36,99.976757,0.022703
37,99.998919,0.001080
38,100.000000,0.000000
1,52.818919,19.841264
2,55.300000,17.591622
3,57.644324,16.839981
4,59.974595,15.300436
5,62.200000,15.275676
6,64.414595,14.763787
7,66.577297,13.785647
8,68.613514,12.716034
9,70.639459,11.554875
10,72.581081,11.362345
11,74.444324,10.458792
12,76.198378,10.701727
13,78.023243,10.193514
14,79.794595,9.171863
15,81.463243,8.396757
16,83.085405,7.582976
17,84.624865,6.471166
18,86.054595,5.697019
19,87.392973,4.903410
20,88.588649,4.348087
21,89.725946,3.773002
22,90.816757,3.723719
23,91.894595,3.376457
24,92.919459,3.017838
25,93.891351,2.665493
26,94.814595,2.288328
27,95.643784,2.026083
28,96.425946,1.833705
29,97.174054,1.442138
30,97.828108,1.203967
31,98.422703,0.903485
32,98.930270,0.692976
33,99.374595,0.450490
34,99.714595,0.239625
35,99.923243,0.070865
36,99.992432,0.007510
37,100.000000,0.000000
1,52.896216,20.233553
2,55.354054,18.824375
3,57.766486,17.048174
4,60.121622,15.425749
5,62.381622,13.219770
6,64.401081,12.470485
7,66.355135,11.474420
8,68.255676,10.905981
9,70.106486,10.697309
10,71.967568,9.289759
11,73.659459,9.034302
12,75.316216,8.585953
13,76.896216,8.578418
14,78.567568,7.848678
15,80.160541,7.543416
16,81.757838,6.774871
17,83.208649,6.066736
18,84.566486,5.733147
19,85.890270,5.546338
20,87.183784,4.956494
21,88.432432,4.995705
22,89.643243,4.642454
23,90.858378,4.066430
24,91.969189,3.555267
25,93.045946,3.331402
26,94.049189,2.927851
27,95.009730,2.389095
28,95.871351,2.045071
29,96.660000,1.689265
30,97.376757,1.388325
31,98.031892,1.129253
32,98.614054,0.849965
33,99.107568,0.546808
34,99.487568,0.351467
35,99.788108,0.173480
36,99.954595,0.043344
37,99.996757,0.003233
38,100.000000,0.000000
1,52.856757,18.632995
2,55.225946,17.480840
3,57.516757,16.904854
4,59.818919,15.386129
5,62.034595,14.405290
6,64.186486,13.479277
7,66.260541,12.482389
8,68.261081,12.523729
9,70.238919,11.558053
10,72.138378,11.874905
11,74.096757,11.059287
12,75.990270,9.823689
13,77.773514,8.245461
14,79.392973,7.118545
