Generation,Fitness,Variance
1,52.951892,25.013361
2,55.800541,24.808324
3,58.584865,24.268744
4,61.402703,24.152966
5,64.149189,23.503148
6,66.922703,21.778349
7,69.532973,20.591615
8,72.085405,21.073787
9,74.611892,18.827750
10,77.080000,17.267114
11,79.461081,15.539296
12,81.652432,15.263521
13,83.836757,13.455514
14,85.920541,11.834227
15,87.842162,10.821574
16,89.669730,9.087138
17,91.326486,8.109623
18,92.936757,6.299244
19,94.365405,5.411344
20,95.651892,4.023686
21,96.781081,3.111534
22,97.758919,2.064042
23,98.543243,1.502184
24,99.206486,0.803850
25,99.651892,0.340442
26,99.907027,0.088653
27,99.993514,0.006444
28,100.000000,0.000000
1,52.804324,26.030900
2,55.662703,26.407312
3,58.597297,24.437290
4,61.371351,23.648585
5,64.043784,22.956461
6,66.727027,21.610351
7,69.332432,21.271651
8,71.956216,19.849434
9,74.488649,18.548250
10,76.923784,16.908245
11,79.258378,16.108376
12,81.474595,14.674219
13,83.621622,13.137911
14,85.657297,12.279312
15,87.599459,10.590378
16,89.400541,9.948216
17,91.159459,7.861600
18,92.734595,6.873884
19,94.201622,5.592322
20,95.496757,4.597017
21,96.690811,3.031970
22,97.666486,2.183363
23,98.463784,1.526526
24,99.135676,0.843754
25,99.620000,0.384789
26,99.898919,0.104918
27,99.992432,0.007510
28,100.000000,0.000000
1,52.570811,25.204986
2,55.365946,25.566084
3,58.243243,23.242454
4,60.997297,23.244858
5,63.698378,22.434430
6,66.368649,22.621936
7,68.992432,20.866970
8,71.582162,20.477844
9,74.151351,19.547904
10,76.664865,18.357955
11,79.022703,16.715160
12,81.335135,14.975252
13,83.540000,13.227859
14,85.585405,11.957301
15,87.568108,10.814010
16,89.447568,9.322927
17,91.187568,7.946981
18,92.751892,6.349794
19,94.175676,5.511300
20,95.469730,4.444759
21,96.635135,3.226333
22,97.633514,2.263525
23,98.461622,1.597716
24,99.148108,0.858064
25,99.626486,0.360488
26,99.890811,0.106997
27,99.990811,0.009105
28,99.999459,0.000540
29,100.000000,0.000000
1,52.747027,26.271140
2,55.628649,24.143720
3,58.338919,25.388377
4,61.195135,22.176517
5,63.901622,22.383835
6,66.601081,21.290593
7,69.192973,21.474653
8,71.824865,19.851490
9,74.365405,18.817830
10,76.820541,17.782929
11,79.212432,15.801899
12,81.465946,16.100732
13,83.716757,13.370584
14,85.769189,11.862943
15,87.736216,10.547715
16,89.565946,9.539705
17,91.326486,7.919353
18,92.885405,6.378219
19,94.321081,5.892583
20,95.673514,4.149623
21,96.837297,3.189204
22,97.823243,2.105514
23,98.622162,1.399401
24,99.258919,0.744312
25,99.703243,0.300584
26,99.937297,0.058771
27,99.996216,0.003769
28,100.000000,0.000000
1,53.053514,23.829028
2,55.831892,25.117145
3,58.624324,23.582652
4,61.378919,24.429934
5,64.083784,22.096224
6,66.746486,21.068163
7,69.324865,21.162030
8,71.947568,19.923197
9,74.433514,18.599093
10,76.874595,18.137787
11,79.294054,16.473532
12,81.548649,15.693039
13,83.803243,14.111557
14,85.869189,12.393699
15,87.862162,10.836676
16,89.687027,9.345832
17,91.426486,8.108380
18,93.029189,6.835905
19,94.490270,5.247743
20,95.783243,4.105989
21,96.905946,2.857100
22,97.852432,2.074981
23,98.654595,1.349344
24,99.265405,0.661992
25,99.681622,0.338095
26,99.929189,0.073364
27,99.996216,0.003769
28,100.000000,0.000000
1,52.566486,24.723417
2,55.367027,24.387994
3,58.162162,23.923974
4,60.879459,24.293038
5,63.752973,21.971951
6,66.400541,21.468216
7,69.022162,20.954644
8,71.611892,20.278561
9,74.188649,18.359547
10,76.592432,17.842537
11,78.969189,16.377970
12,81.218919,15.485588
13,83.457297,13.263312
14,85.515135,12.005447
15,87.472432,11.172483
16,89.325405,9.708165
17,91.076216,8.592569
18,92.707027,6.813626
19,94.143784,5.398786
20,95.450811,4.402175
21,96.604324,3.249927
22,97.577838,2.304482
23,98.402703,1.561614
24,99.089189,0.937451
25,99.593514,0.403417
26,99.876216,0.123596
27,99.981081,0.019642
28,99.999459,0.000540
29,100.000000,0.000000
1,52.890270,25.302013
2,55.755135,25.055176
3,58.582162,24.848655
4,61.428649,22.862206
5,64.196216,22.023661
6,66.882162,21.583952
7,69.547568,22.013143
8,72.196757,19.499665
9,74.720000,18.514032
10,77.131892,17.010713
11,79.413514,16.971169
12,81.707027,14.206059
13,83.799459,14.186270
14,85.905405,11.936457
15,87.832432,11.011921
16,89.755676,8.738143
17,91.408108,7.618853
18,92.909730,6.275635
19,94.334054,5.695975
20,95.682162,4.317357
21,96.847568,3.015683
22,97.797838,2.134266
23,98.606486,1.350012
24,99.227568,0.779024
25,99.687027,0.304751
26,99.926486,0.074596
27,99.997838,0.002157
28,100.000000,0.000000
1,52.784865,25.306149
2,55.665946,24.836516
3,58.417838,24.628114
4,61.144324,23.942954
5,63.944324,23.051495
6,66.651351,22.071417
7,69.263784,22.145553
8,71.888108,20.510183
9,74.426486,19.966758
10,76.991351,17.382628
11,79.309189,17.212510
12,81.640541,14.843221
13,83.801622,13.079024
14,85.808108,11.982096
15,87.752432,10.485737
16,89.570270,9.285062
17,91.290270,7.940067
18,92.863784,6.665769
19,94.326486,5.539893
20,95.623243,4.254271
21,96.773514,2.995731
22,97.748108,2.230605
23,98.561081,1.480864
24,99.204324,0.776630
25,99.654054,0.353835
26,99.907568,0.089294
27,99.989730,0.010165
28,100.000000,0.000000
1,52.662703,24.507852
2,55.475135,24.641814
3,58.261081,23.939945
4,61.028649,24.155395
5,63.738919,23.121566
6,66.445405,21.669722
7,69.088108,21.259805
8,71.640000,19.564454
9,74.147027,19.926491
10,76.664324,17.120295
11,79.032432,16.377327
12,81.341622,15.131943
13,83.508108,12.829394
14,85.554054,12.908700
15,87.552973,11.047194
16,89.417838,9.845412
17,91.192973,7.539518
18,92.756757,6.677049
19,94.200541,5.879243
20,95.569730,4.222435
21,96.696216,3.109878
22,97.649189,2.314229
23,98.484324,1.502727
24,99.135135,0.869306
25,99.630811,0.358294
26,99.891892,0.113718
27,99.994054,0.005911
28,100.000000,0.000000
1,52.905946,25.503586
2,55.711351,24.858304
3,58.568108,25.117794
4,61.420541,24.091254
5,64.159459,22.032411
6,66.837297,21.829204
7,69.433514,21.269363
8,71.999459,19.175675
9,74.429730,19.199657
10,76.881081,17.557750
11,79.251892,16.778713
12,81.560000,15.738292
13,83.772973,13.766837
14,85.857838,12.190060
15,87.822162,10.528914
16,89.688108,9.680561
17,91.434595,8.149506
18,93.045405,6.487668
19,94.467027,5.161345
20,95.743784,3.945164
21,96.826486,3.014758
